kind,algorithm,n,block,repeat,algorithm_ms,wall_ms
scan,Efficient unoptimized,10000,32,6,0.421887994,0.8917
scan,Efficient unoptimized,10000,32,7,0.528128028,1.1619
scan,Efficient unoptimized,10000,32,8,0.210943997,0.59
scan,Efficient unoptimized,10000,32,9,0.191487998,0.5184
scan,Efficient unoptimized,10000,32,10,0.197632,0.5146
scan,Efficient unoptimized,10000,32,11,0.222207993,0.5267
scan,Efficient unoptimized,10000,32,12,0.211968005,0.5174
scan,Efficient unoptimized,10000,32,13,0.172031999,0.48
scan,Efficient unoptimized,10000,32,14,0.191487998,0.503
scan,Efficient unoptimized,10000,256,0,0.189439997,0.5869
scan,Efficient unoptimized,10000,256,1,0.152575999,0.5783
scan,Efficient unoptimized,10000,256,2,0.193535998,0.5727
scan,Efficient unoptimized,10000,256,3,0.135168001,0.4774
scan,Efficient unoptimized,10000,256,4,0.206847996,0.6673
scan,Efficient unoptimized,10000,256,5,0.183295995,0.514
scan,Efficient unoptimized,10000,256,6,0.183295995,0.4953
scan,Efficient unoptimized,10000,256,7,0.179199994,0.507
scan,Efficient unoptimized,10000,256,8,0.157695994,0.4794
scan,Efficient unoptimized,10000,256,9,0.164864004,0.4856
scan,Efficient unoptimized,10000,256,10,0.161791995,0.4904
scan,Efficient unoptimized,10000,256,11,0.157695994,0.4823
scan,Efficient unoptimized,10000,256,12,0.183295995,0.5069
scan,Efficient unoptimized,10000,256,13,0.171008006,0.4968
scan,Efficient unoptimized,10000,256,14,0.184320003,0.5069
scan,Efficient unoptimized,10000,64,0,0.189439997,0.5724
scan,Efficient unoptimized,10000,64,1,0.555167973,1.0746
scan,Efficient unoptimized,10000,64,2,0.199680001,0.5647
scan,Efficient unoptimized,10000,64,3,0.173056006,0.5031
scan,Efficient unoptimized,10000,64,4,0.156672001,0.5014
scan,Efficient unoptimized,10000,64,5,0.158720002,0.4711
scan,Efficient unoptimized,10000,64,6,0.178176001,0.4903
scan,Efficient unoptimized,10000,64,7,0.163839996,0.472
